R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,West Bromwich Albion,20,1,3,4,2
2,Sheffield United,18,1,7,0,0
3,Crystal Palace,17,5,3,3,0
4,West Ham,16,1,2,2,0
5,Fulham,15,0,3,5,0
6,Newcastle United,14,4,3,1,2
7,Arsenal,13,2,1,0,3
8,Leeds,13,2,9,5,1
9,Liverpool,13,0,5,2,0
10,Everton,13,2,2,2,0
11,Burnley,13,0,3,3,1
12,Southampton,12,2,3,2,0
13,Manchester United,11,0,6,4,2
14,Brighton,11,1,6,5,1
15,Chelsea,9,1,5,2,0
16,Aston Villa,9,0,4,0,0
17,Leicester,8,2,7,1,1
18,Wolverhampton Wanderers,8,1,6,3,2
19,Manchester City,4,1,2,4,1
20,Tottenham,3,0,6,4,2
